market,code,name,date,side,close,change_pct,volume_lots,turnover_e8,atr_pct,vol_ratio,close_pos,daytrade_ratio,condA_volatility,condB_liquidity,condC_volume,condD_close,condE_trend,condF_chips,checklist_count,score,high,low,pivot,r1,s1,atr,stop_dist,notes
TWSE,3042,晶技,20260923,多,198.0,7.901907356948229,33267,65.87,5.53,3.52,0.84,,True,True,True,True,True,False,5,90.0,201.5,179.0,192.83,206.67,184.17,10.96,5.48,量能放大3.5倍；收在最高附近，尾盤強；突破近20日高點
TWSE,1101,台泥,20260923,多,25.65,4.480651731160887,130649,33.51,2.22,6.2,0.69,,False,True,True,False,True,False,3,84.0,26.1,24.65,25.47,26.28,24.83,0.57,0.28,量能放大6.2倍；均線多頭排列
TWSE,2484,希華,20260923,多,72.9,4.741379310344844,18374,13.39,5.36,3.62,0.67,,True,True,True,False,True,False,4,83.7,75.0,68.6,72.17,75.73,69.33,3.91,1.95,量能放大3.6倍；均線多頭排列
TWSE,3055,蔚華科,20260923,空,203.5,-1.4527845036319613,25052,50.98,6.5,7.19,0.12,,True,True,True,True,False,False,4,80.0,226.0,200.5,210.0,219.5,194.0,13.22,6.61,量能放大7.2倍；收在最低附近，尾盤弱
TWSE,6278,台表科,20260923,空,209.0,-2.107728337236534,19014,39.74,4.61,3.67,0.33,,True,True,True,False,False,False,3,77.5,218.0,204.5,210.5,216.5,203.0,9.63,4.82,量能放大3.7倍
TWSE,2302,麗正,20260923,多,45.75,4.691075514874135,13188,6.03,5.02,2.69,0.62,,True,True,True,False,True,False,4,75.7,46.85,43.95,45.52,47.08,44.18,2.3,1.15,量能放大2.7倍；均線多頭排列
TWSE,4919,新唐,20260923,多,134.0,0.37453183520599254,43703,58.56,5.51,3.37,0.13,,True,True,True,False,True,False,4,75.0,144.0,132.5,136.83,141.17,129.67,7.39,3.69,量能放大3.4倍；均線多頭排列
TWSE,3167,大量,20260923,多,890.0,3.009259259259259,6390,56.87,6.2,1.37,0.7,,True,True,False,False,True,False,3,74.8,903.0,860.0,884.33,908.67,865.67,55.17,27.58,均線多頭排列
TWSE,6526,達發,20260923,多,840.0,9.947643979057592,4748,39.89,4.17,2.08,1.0,,True,True,True,True,True,False,5,74.4,840.0,761.0,813.67,866.33,787.33,35.01,17.5,量能放大2.1倍；收在最高附近，尾盤強；突破近20日高點；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,4958,臻鼎-KY,20260923,空,473.0,-3.2719836400818,39517,186.92,5.91,1.32,0.24,,True,True,False,True,True,False,4,74.3,482.5,470.0,475.17,480.33,467.83,27.96,13.98,收在最低附近，尾盤弱；均線空頭排列
